Source,/Users/aturner/GIT/gopro-control/kicad/goprocontrol.sch
Kicad Rev,Eeschema 4.0.5
Generated Date,Saturday, February 25, 2017 'AMt' 11:38:22 AM

Title,GoProControl with Adjustable Delay Timer
Company,Aaron Turner <synfinatic@gmail.com>
Revision,v2.0
Date Issue,2017-02-25
Comment,https://synfin.net/goprocontrol
Comment,Advanced GoProControl
Comment,GoProControl with Power Control

Reference,Value,Library,Library Ref
P1,CONN_01X06,conn,CONN_01X06
U2,ESP-01v090,ESP8266,ESP-01v090
SW2,Prog,switches,SW_Push
SW1,Reset,switches,SW_Push
R2,1k,device,R
R1,1k,device,R
C2,1uf,device,C
U3,D24V5F3,synfinatic,D24V5Fx
R13,1k,device,R
C5,.01uf,device,C
U1,NE555,linear,NE555
RV1,500k,device,POT_TRIM
Q3,MMBT3906,transistors,MMBT3906
Q4,MMBT3906,transistors,MMBT3906
Q1,MMBT3904,transistors,MMBT3904
Q2,MMBT3904,transistors,MMBT3904
C1,0.1uf,device,C
R3,100k,device,R
C4,100uf,device,CP
R6,2.2k,device,R
D2,1n4148,device,D
R11,2.2k,device,R
R9,10k,device,R
R10,2.2k,device,R
R7,10k,device,R
R8,2.2k,device,R
C3,0.1uf,device,C
Q5,IRLML6344,device,Q_NMOS_GSD
R12,1k,device,R
ROpt1,100k,device,R
CONN1,FTDI,synfinatic,FTDI
JP1,Jumper_NC_Dual,device,Jumper_NC_Dual
R5,22k,device,R
R4,10k,device,R
D1,B5817WS,device,D_Schottky
D3,B5817WS,device,D_Schottky
D4,B5817WS,device,D_Schottky
